Name;Year;Rating;Rate;TotalRate;Link_Movie;Budget;Gross_Us;Opening_Week_Rev;Opening_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
The Departed;2006;R;8.5;1400000;https://www.imdb.com/title/tt0407887/?ref_=chttp_t_39;90000000;132399394;26887467;08/10/2006 00:00;291481358;151;Color;None;2.39 : 1
L̩on: The Professional;1994;R;8.5;1300000;https://www.imdb.com/title/tt0110413/?ref_=chttp_t_40;115000000;19501238;5306558;20/11/1994 00:00;20275438;110;Color;None;2.39 : 1
American History X;1998;R;8.5;1200000;https://www.imdb.com/title/tt0120586/?ref_=chttp_t_41;20000000;6719864;156076;01/11/1998 00:00;23875714;119;Color;None;1.85 : 1
Whiplash;2014;R;8.5;998000;https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42;3300000;13092000;135388;12/10/2014 00:00;49449489;106;Color;None;2.39 : 1
The Prestige;2006;PG-13;8.5;1400000;https://www.imdb.com/title/tt0482571/?ref_=chttp_t_43;40000000;53089891;14801808;22/10/2006 00:00;109676311;130;Color;None;2.39 : 1
Grave of the Fireflies;1988;Not;8.5;313000;https://www.imdb.com/title/tt0095327/?ref_=chttp_t_44;3700000;516962;158101;12/08/2018 00:00;519421;89;Color;None;1.85 : 1
Harakiri;1962;Not;8.6;70000;https://www.imdb.com/title/tt0056058/?ref_=chttp_t_45;0;0;0;01/01/1900 00:00;15222;133;Black and White;None;2.35 : 1
The Usual Suspects;1995;R;8.5;1100000;https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46;6000000;23341568;645363;20/08/1995 00:00;23341568;106;None;None;0
Casablanca;1942;PG;8.5;608000;https://www.imdb.com/title/tt0034583/?ref_=chttp_t_47;950000;4219709;181494;12/04/1992 00:00;4661588;102;None;None;0
The Intouchables;2011;R;8.5;934000;https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48;9500000;10198820;103507;27/05/2012 00:00;426590315;112;Color;None;1.85 : 1
Cinema Paradiso;1988;PG;8.5;284000;https://www.imdb.com/title/tt0095765/?ref_=chttp_t_49;5000000;12397210;16552;04/02/1990 00:00;13020497;174;Color;None;1.66 : 1
Modern Times;1936;G;8.5;261000;https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50;1500000;163577;35809;28/12/2003 00:00;463618;87;Black and White;None;1.37 : 1
